dataset_rows,dataset_columns,fraud_rate,target_column,imbalance_ratio,dataset_size_category,actual_numeric_count,actual_categorical_count,actual_missing_rate,numeric_mean_std,numeric_mean_skewness,numeric_correlation_strength,numeric_mean_kurtosis,numeric_variance_max,numeric_variance_mean,total_features_engineered,top_feature_importance,avg_feature_importance,feature_importance_entropy,top5_feature_concentration,top10_feature_concentration,feature_importance_std,num_dominant_features,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,gamma,min_child_weight,reg_alpha,reg_lambda,scale_pos_weight,target_cv_score,target_rank,target_score_category,target_test_score,target_precision,target_recall,target_roc_auc,overfitting_score,score_stability,complexity_score,structure_target_distribution,dataset_quality_score,hyperparameter_diversity,model_complexity,dataset_rows_norm,dataset_columns_norm,fraud_rate_norm,imbalance_ratio_norm,actual_numeric_count_norm,actual_categorical_count_norm,actual_missing_rate_norm,numeric_mean_std_norm,numeric_mean_skewness_norm,numeric_correlation_strength_norm,numeric_mean_kurtosis_norm,numeric_variance_max_norm,numeric_variance_mean_norm,total_features_engineered_norm,top_feature_importance_norm,avg_feature_importance_norm,feature_importance_entropy_norm,top5_feature_concentration_norm,top10_feature_concentration_norm,feature_importance_std_norm,num_dominant_features_norm,max_depth_norm,learning_rate_norm,n_estimators_norm,subsample_norm,colsample_bytree_norm,gamma_norm,min_child_weight_norm,reg_alpha_norm,reg_lambda_norm,scale_pos_weight_norm,overfitting_score_norm,score_stability_norm,complexity_score_norm,structure_target_distribution_norm,dataset_quality_score_norm,hyperparameter_diversity_norm,model_complexity_norm
16177,21,0.05,suspicious_flag,18.999999999999996,small,4,17,0.049579502939211165,885657.0529479746,3.458697882575059,0.34854756733816233,25.694978508757824,5883974023735.021,1782871746149.9648,22,0.07614373415708542,0.01291605830192566,0.8384320641183423,0.9449675246014464,1.0,0.0235862371359733,5,5,0.12,400,0.7,0.9,0.3,3,0.2,1.0,15.504084507,1.0,1,excellent,1.0,0.5,0.5,0.5,0.0,1.0,0.355894,0.05,0.6354682324306566,1.2888888888888888,0.5066666666666667,0.10295,0.42857142857142855,0.35926058224682983,0.5,0.13333333333333333,0.5263157894736842,1.0,2.02404649127596e-06,0.2695485401956536,0.5876402205761482,0.0495535824961789,4.388147587307307e-13,1.180900876110841e-12,0.44,0.1286650217092282,0.3763420807377833,0.28124642490744506,0.9840198966396929,1.0,0.203903440674621,1.0,0.2857142857142857,0.4999999999999999,0.5,0.14285714285714268,1.0,0.4285714285714286,0.14285714285714285,1.0,0.4117647058823529,0.06647104824481122,0.0,0.5,0.177947,0.35926058224682983,0.30184718346429223,0.2197802197802196,0.3298969072164949
16177,21,0.05,suspicious_flag,18.999999999999996,small,4,17,0.049579502939211165,885657.0529479746,3.458697882575059,0.34854756733816233,25.694978508757824,5883974023735.021,1782871746149.9648,22,0.07614373415708542,0.01291605830192566,0.8384320641183423,0.9449675246014464,1.0,0.0235862371359733,5,5,0.08,450,0.9,0.9,0.0,3,0.2,2.0,15.504084507,1.0,2,excellent,1.0,0.5,0.5,0.5,0.0,1.0,0.355894,0.05,0.6354682324306566,1.4555555555555557,0.5399999999999999,0.10295,0.42857142857142855,0.35926058224682983,0.5,0.13333333333333333,0.5263157894736842,1.0,2.02404649127596e-06,0.2695485401956536,0.5876402205761482,0.0495535824961789,4.388147587307307e-13,1.180900876110841e-12,0.44,0.1286650217092282,0.3763420807377833,0.28124642490744506,0.9840198966396929,1.0,0.203903440674621,1.0,0.2857142857142857,0.21428571428571425,1.0,0.7142857142857143,1.0,0.0,0.14285714285714285,1.0,1.0,0.06647104824481122,0.0,0.5,0.177947,0.35926058224682983,0.30184718346429223,0.3846153846153847,0.4329896907216492
16177,21,0.05,suspicious_flag,18.999999999999996,small,4,17,0.049579502939211165,885657.0529479746,3.458697882575059,0.34854756733816233,25.694978508757824,5883974023735.021,1782871746149.9648,22,0.07614373415708542,0.01291605830192566,0.8384320641183423,0.9449675246014464,1.0,0.0235862371359733,5,5,0.12,450,0.7,0.8,0.0,10,0.1,2.0,15.504084507,1.0,3,excellent,1.0,0.5,0.5,0.5,0.0,1.0,0.355894,0.05,0.6354682324306566,1.4555555555555555,0.5399999999999999,0.10295,0.42857142857142855,0.35926058224682983,0.5,0.13333333333333333,0.5263157894736842,1.0,2.02404649127596e-06,0.2695485401956536,0.5876402205761482,0.0495535824961789,4.388147587307307e-13,1.180900876110841e-12,0.44,0.1286650217092282,0.3763420807377833,0.28124642490744506,0.9840198966396929,1.0,0.203903440674621,1.0,0.2857142857142857,0.4999999999999999,1.0,0.14285714285714268,0.5000000000000002,0.0,0.6428571428571429,0.5,1.0,0.06647104824481122,0.0,0.5,0.177947,0.35926058224682983,0.30184718346429223,0.38461538461538447,0.4329896907216492
16177,21,0.05,suspicious_flag,18.999999999999996,small,4,17,0.049579502939211165,885657.0529479746,3.458697882575059,0.34854756733816233,25.694978508757824,5883974023735.021,1782871746149.9648,22,0.07614373415708542,0.01291605830192566,0.8384320641183423,0.9449675246014464,1.0,0.0235862371359733,5,3,0.12,450,0.7,0.9,0.0,3,0.2,2.0,18.9494366197,1.0,4,excellent,1.0,0.5,0.5,0.5,0.0,1.0,0.355894,0.05,0.6354682324306566,1.2333333333333332,0.47333333333333333,0.10295,0.42857142857142855,0.35926058224682983,0.5,0.13333333333333333,0.5263157894736842,1.0,2.02404649127596e-06,0.2695485401956536,0.5876402205761482,0.0495535824961789,4.388147587307307e-13,1.180900876110841e-12,0.44,0.1286650217092282,0.3763420807377833,0.28124642490744506,0.9840198966396929,1.0,0.203903440674621,1.0,0.0,0.4999999999999999,1.0,0.14285714285714268,1.0,0.0,0.14285714285714285,1.0,1.0,0.09317770201609127,0.0,0.5,0.177947,0.35926058224682983,0.30184718346429223,0.16483516483516467,0.22680412371134004
16177,21,0.05,suspicious_flag,18.999999999999996,small,4,17,0.049579502939211165,885657.0529479746,3.458697882575059,0.34854756733816233,25.694978508757824,5883974023735.021,1782871746149.9648,22,0.07614373415708542,0.01291605830192566,0.8384320641183423,0.9449675246014464,1.0,0.0235862371359733,5,5,0.08,400,0.7,0.9,0.0,10,0.2,1.0,18.9494366197,1.0,5,excellent,1.0,0.5,0.5,0.5,0.0,1.0,0.355894,0.05,0.6354682324306566,1.288888888888889,0.5066666666666667,0.10295,0.42857142857142855,0.35926058224682983,0.5,0.13333333333333333,0.5263157894736842,1.0,2.02404649127596e-06,0.2695485401956536,0.5876402205761482,0.0495535824961789,4.388147587307307e-13,1.180900876110841e-12,0.44,0.1286650217092282,0.3763420807377833,0.28124642490744506,0.9840198966396929,1.0,0.203903440674621,1.0,0.2857142857142857,0.21428571428571425,0.5,0.14285714285714268,1.0,0.0,0.6428571428571429,1.0,0.4117647058823529,0.09317770201609127,0.0,0.5,0.177947,0.35926058224682983,0.30184718346429223,0.21978021978021983,0.3298969072164949
16177,21,0.05,suspicious_flag,18.999999999999996,small,4,17,0.049579502939211165,885657.0529479746,3.458697882575059,0.34854756733816233,25.694978508757824,5883974023735.021,1782871746149.9648,22,0.07614373415708542,0.01291605830192566,0.8384320641183423,0.9449675246014464,1.0,0.0235862371359733,5,3,0.12,450,0.9,0.8,0.3,3,0.1,2.0,15.504084507,1.0,6,excellent,1.0,0.5,0.5,0.5,0.0,1.0,0.355894,0.05,0.6354682324306566,1.2333333333333332,0.47333333333333333,0.10295,0.42857142857142855,0.35926058224682983,0.5,0.13333333333333333,0.5263157894736842,1.0,2.02404649127596e-06,0.2695485401956536,0.5876402205761482,0.0495535824961789,4.388147587307307e-13,1.180900876110841e-12,0.44,0.1286650217092282,0.3763420807377833,0.28124642490744506,0.9840198966396929,1.0,0.203903440674621,1.0,0.0,0.4999999999999999,1.0,0.7142857142857143,0.5000000000000002,0.4285714285714286,0.14285714285714285,0.5,1.0,0.06647104824481122,0.0,0.5,0.177947,0.35926058224682983,0.30184718346429223,0.16483516483516467,0.22680412371134004
16177,21,0.05,suspicious_flag,18.999999999999996,small,4,17,0.049579502939211165,885657.0529479746,3.458697882575059,0.34854756733816233,25.694978508757824,5883974023735.021,1782871746149.9648,22,0.07614373415708542,0.01291605830192566,0.8384320641183423,0.9449675246014464,1.0,0.0235862371359733,5,3,0.12,400,0.7,0.8,0.3,10,0.1,1.0,18.9494366197,1.0,7,excellent,1.0,0.5,0.5,0.5,0.0,1.0,0.355894,0.05,0.6354682324306566,1.0666666666666667,0.44,0.10295,0.42857142857142855,0.35926058224682983,0.5,0.13333333333333333,0.5263157894736842,1.0,2.02404649127596e-06,0.2695485401956536,0.5876402205761482,0.0495535824961789,4.388147587307307e-13,1.180900876110841e-12,0.44,0.1286650217092282,0.3763420807377833,0.28124642490744506,0.9840198966396929,1.0,0.203903440674621,1.0,0.0,0.4999999999999999,0.5,0.14285714285714268,0.5000000000000002,0.4285714285714286,0.6428571428571429,0.5,0.4117647058823529,0.09317770201609127,0.0,0.5,0.177947,0.35926058224682983,0.30184718346429223,0.0,0.12371134020618539
16177,21,0.05,suspicious_flag,18.999999999999996,small,4,17,0.049579502939211165,885657.0529479746,3.458697882575059,0.34854756733816233,25.694978508757824,5883974023735.021,1782871746149.9648,22,0.07614373415708542,0.01291605830192566,0.8384320641183423,0.9449675246014464,1.0,0.0235862371359733,5,5,0.08,400,0.9,0.8,0.3,10,0.1,1.0,15.504084507,1.0,8,excellent,1.0,0.5,0.5,0.5,0.0,1.0,0.355894,0.05,0.6354682324306566,1.288888888888889,0.5066666666666667,0.10295,0.42857142857142855,0.35926058224682983,0.5,0.13333333333333333,0.5263157894736842,1.0,2.02404649127596e-06,0.2695485401956536,0.5876402205761482,0.0495535824961789,4.388147587307307e-13,1.180900876110841e-12,0.44,0.1286650217092282,0.3763420807377833,0.28124642490744506,0.9840198966396929,1.0,0.203903440674621,1.0,0.2857142857142857,0.21428571428571425,0.5,0.7142857142857143,0.5000000000000002,0.4285714285714286,0.6428571428571429,0.5,0.4117647058823529,0.06647104824481122,0.0,0.5,0.177947,0.35926058224682983,0.30184718346429223,0.21978021978021983,0.3298969072164949
16177,21,0.05,suspicious_flag,18.999999999999996,small,4,17,0.049579502939211165,885657.0529479746,3.458697882575059,0.34854756733816233,25.694978508757824,5883974023735.021,1782871746149.9648,22,0.07614373415708542,0.01291605830192566,0.8384320641183423,0.9449675246014464,1.0,0.0235862371359733,5,5,0.12,400,0.9,0.8,0.0,3,0.1,1.0,18.9494366197,1.0,9,excellent,1.0,0.5,0.5,0.5,0.0,1.0,0.355894,0.05,0.6354682324306566,1.2888888888888888,0.5066666666666667,0.10295,0.42857142857142855,0.35926058224682983,0.5,0.13333333333333333,0.5263157894736842,1.0,2.02404649127596e-06,0.2695485401956536,0.5876402205761482,0.0495535824961789,4.388147587307307e-13,1.180900876110841e-12,0.44,0.1286650217092282,0.3763420807377833,0.28124642490744506,0.9840198966396929,1.0,0.203903440674621,1.0,0.2857142857142857,0.4999999999999999,0.5,0.7142857142857143,0.5000000000000002,0.0,0.14285714285714285,0.5,0.4117647058823529,0.09317770201609127,0.0,0.5,0.177947,0.35926058224682983,0.30184718346429223,0.2197802197802196,0.3298969072164949
16177,21,0.05,suspicious_flag,18.999999999999996,small,4,17,0.049579502939211165,885657.0529479746,3.458697882575059,0.34854756733816233,25.694978508757824,5883974023735.021,1782871746149.9648,22,0.07614373415708542,0.01291605830192566,0.8384320641183423,0.9449675246014464,1.0,0.0235862371359733,5,3,0.08,450,0.9,0.8,0.0,10,0.1,2.0,18.9494366197,1.0,10,excellent,1.0,0.5,0.5,0.5,0.0,1.0,0.355894,0.05,0.6354682324306566,1.2333333333333334,0.47333333333333333,0.10295,0.42857142857142855,0.35926058224682983,0.5,0.13333333333333333,0.5263157894736842,1.0,2.02404649127596e-06,0.2695485401956536,0.5876402205761482,0.0495535824961789,4.388147587307307e-13,1.180900876110841e-12,0.44,0.1286650217092282,0.3763420807377833,0.28124642490744506,0.9840198966396929,1.0,0.203903440674621,1.0,0.0,0.21428571428571425,1.0,0.7142857142857143,0.5000000000000002,0.0,0.6428571428571429,0.5,1.0,0.09317770201609127,0.0,0.5,0.177947,0.35926058224682983,0.30184718346429223,0.1648351648351649,0.22680412371134004
